"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","점포구분명"
"3220000","1984322008307500006","19840307","","02","휴업","2","휴업처리","","","","","02 5492233","","","서울특별시 강남구 압구정동 456호   ","","","(주)금강개발산업","2007-07-14 10:53:01","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","202485.226490575    ","447521.520319158    ",""
"3220000","1984322016207500001","19840208","","01","영업/정상","1","정상영업","","","","","02-561-4267","11740.39","","서울특별시 강남구 대치동 511번지 한보미도맨션","서울특별시 강남구 삼성로 150 (대치동, 한보미도맨션)","06288","한보종합상가","2018-04-18 17:24:03","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","205886.286776047    ","443467.611815598    ","대규모점포"
"3220000","1996322016207500001","19961115","","01","영업/정상","1","정상영업","","","","","02-550-3090","12025.9","135926","서울특별시 강남구 역삼동 755번지","서울특별시 강남구 역삼로 310 (역삼동)","135926","한솔필리아","2018-04-18 16:09:06","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","204213.643236507    ","444113.028210915    ","대규모점포"
"3220000","2001322008307500001","19741110","","01","영업/정상","1","정상영업","","","","","02 5420874","3062.7","","서울특별시 강남구 신사동 510번지 11호","서울특별시 강남구 압구정로2길 46 (신사동)","135887","강남시장","2020-11-08 15:42:17","U","2020-11-10 02:40:00.0","복합쇼핑몰","201757.494098748    ","446282.45446652     ","대규모점포"
"3220000","2001322008307500002","19730801","","03","폐업","3","폐업처리","20130214","","","","02 5471151","0","","서울특별시 강남구 논현동 122번지 8호","서울특별시 강남구 학동로4길 15 (논현동)","135822","영동시장","2013-12-30 09:11:02","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","202010.0103397      ","445368.131754546    ","대규모점포"
"3220000","2001322008307500003","19790117","","01","영업/정상","1","정상영업","","","","","02 5491940","0","","서울특별시 강남구 논현동 227번지 4호","서울특별시 강남구 봉은사로33길 33 (논현동)","135829","논현종합시장","2019-05-09 16:34:32","U","2019-05-11 02:40:00.0","그 밖의 대규모점포","203005.088001821    ","445311.309960952    ","대규모점포"
"3220000","2001322008307500004","19870202","","01","영업/정상","1","정상영업","","","","","02 5103114","0","","서울특별시 강남구 논현동 105번지 7호","서울특별시 강남구 언주로 726 (논현동, 두산빌딩)","135714","두산아케이드","2013-12-30 13:52:36","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","203050.783890109    ","446316.514036122    ","대규모점포"
"3220000","2001322008307500005","19790410","","02","휴업","2","휴업처리","","","","","02 5492233","","","서울특별시 강남구 압구정동 456호   ","","","금강상가","2007-07-14 10:53:01","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","202485.226490575    ","447521.520319158    ",""
"3220000","2001322008307500006","19760807","","01","영업/정상","1","정상영업","","","","","02 5423516","2059","","서울특별시 강남구 압구정동 454호","서울특별시 강남구 압구정로29길 72-1 (압구정동)","135903","신사상가","2015-04-15 18:56:47","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","202440.338882233    ","447782.51322707     ","대규모점포"
"3220000","2001322008307500007","1985-07-08","","01","영업/정상","1","정상영업","","","","","0234494406","10250","","서울특별시 강남구 압구정동 515호","서울특별시 강남구 압구정로 407 (압구정동, 갤러리아백화점)","135-902","갤러리아백화점(동관)","2023-03-28 11:23:26","U","2022-12-02 21:00:00.0","백화점","203604.761651873","447316.222786487",""
"3220000","2001322008307500008","19780526","","03","폐업","3","폐업처리","20140324","20110415","20140430","","02 5441034","0","","서울특별시 강남구 청담동 122호","서울특별시 강남구 도산대로85길 30 (청담동)","135955","청담제일시장","2014-03-24 18:28:39","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","204391.42543100000  ","447439.75242100000  ","대규모점포"
"3220000","2001322008307500009","19800519","","01","영업/정상","1","정상영업","","","","","02 5427121","0","","서울특별시 강남구 청담동 134번지 20호","서울특별시 강남구 학동로101길 26 (청담동)","135958","청담삼익시장","2019-08-31 11:00:08","U","2019-09-03 02:40:00.0","그 밖의 대규모점포","205034.15838707     ","446675.932361885    ","대규모점포"
"3220000","2001322008307500010","19831011","","03","폐업","3","폐업처리","20101230","","","","02 5623886","0","","서울특별시 강남구 삼성동 122번지 8 호","서울특별시 강남구 봉은사로72길 39 (삼성동)","135509","삼성종합시장","2013-12-30 10:33:56","I","2018-08-31 23:59:59.0","시장","204582.09981345     ","445311.806281605    ","대규모점포"
"3220000","2001322008307500011","19850206","","01","영업/정상","1","정상영업","","","","","0234589571","0","","서울특별시 강남구 대치동 500호","서울특별시 강남구 남부순환로 2912 (대치동, 개포우성아파트)","135828","그랑프리","2013-12-30 13:29:06","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","204992.451561361    ","443183.576115254    ","대규모점포"
"3220000","2001322008307500012","19790416","","01","영업/정상","1","정상영업","","","","","02 5549645","0","","서울특별시 강남구 대치동 626호","서울특별시 강남구 남부순환로 2917 (대치동)","135838","청실종합상가","2013-12-30 13:35:07","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","205154.638096613    ","443439.981644506    ","대규모점포"
"3220000","2001322008307500015","19840525","","01","영업/정상","1","정상영업","","","","","02 5664105","2105.31","","서울특별시 강남구 대치동 977번지 12  호","서울특별시 강남구 삼성로64길 41 (대치동)","135842","대치종합상가","2019-08-31 12:34:20","U","2019-09-03 02:40:00.0","그 밖의 대규모점포","205558.159926896    ","444312.078934352    ","대규모점포"
"3220000","2001322008307500016","19810414","","03","폐업","3","폐업처리","20130220","","","","02 5673424","0","","서울특별시 강남구 역삼동 796번지 22  호","서울특별시 강남구 역삼로52길 14 (역삼동)","135926","역삼시장","2013-12-30 09:39:50","I","2018-08-31 23:59:59.0","시장","204170.278135097    ","444036.656041328    ","대규모점포"
"3220000","2001322008307500017","19741227","","03","폐업","3","폐업처리","20130220","","","","02 5673504","0","","서울특별시 강남구 역삼동 754번지 2  호","서울특별시 강남구 역삼로52길 14 (역삼동)","135926","역삼시장","2013-12-27 14:44:37","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","204170.278135097    ","444036.656041328    ","대규모점포"
"3220000","2001322008307500018","19921226","","03","폐업","3","폐업처리","20210513","","","","02 4591567","0","","서울특별시 강남구 수서동 707호","서울특별시 강남구 광평로51길 49 (수서동, 주공아파트)","135783","수서종합상가","2021-05-13 14:52:55","U","2021-05-15 02:40:00.0","그 밖의 대규모점포","208789.626026494    ","443219.258555294    ","대규모점포"
"3220000","2001322008307500019","19940615","","01","영업/정상","1","정상영업","","","","","02 4511400","0","","서울특별시 강남구 개포동 12호","서울특별시 강남구 개포로109길 5 (개포동, 대청아파트)","135940","대치1단지상가","2013-12-30 11:44:18","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","206581.787067095    ","443555.991242524    ","대규모점포"
"3220000","2001322008307500020","19940615","","01","영업/정상","1","정상영업","","","","","02 4598720","0","","서울특별시 강남구 개포동 12호","서울특별시 강남구 개포로109길 21 (개포동, 대청아파트)","135940","대치2단지상가","2013-12-30 11:00:46","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","206581.787067095    ","443555.991242524    ","대규모점포"
"3220000","2001322008307500021","19940615","","01","영업/정상","1","정상영업","","","","","02 4599891","0","","서울특별시 강남구 일원동 711번지 1호","서울특별시 강남구 양재대로55길 6 (일원동, 도시개발아파트)","135938","수서1-2단지상가","2013-12-30 10:53:10","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","207748.487100942    ","443240.945026406    ","대규모점포"
"3220000","2001322008307500022","19940615","20100908","04","취소/말소/만료/정지/중지","4","직권취소","","","","","02 5550000","0","","서울특별시 강남구 일원동 647호","","","일원마트","2010-09-08 17:44:37","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","207614.091005038    ","443297.031452896    ",""
"3220000","2001322008307500023","19970524","","03","폐업","3","폐업처리","20090922","","","","0234135119","0","","서울특별시 강남구 개포동 13번지 3 호","","","미씨-860","2010-08-24 09:23:50","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","206970.919291372    ","443574.411625824    ",""
"3220000","2001322008307500024","19970630","","01","영업/정상","1","정상영업","","","","","0234662620","","","서울특별시 강남구 역삼동 826번지 14호   ","","","진솔물산","2007-07-14 10:53:01","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","202557.007830645    ","443648.622539856    ",""
"3220000","2001322008307500025","19970902","","03","폐업","3","폐업처리","20121220","","","","02 5743600","0","","서울특별시 강남구 도곡동 464호","","","(주)재능스스로마트","2012-12-26 18:30:38","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","204254.782968629    ","442744.847670936    ","대규모점포"
"3220000","2001322008307500026","19851130","","01","영업/정상","1","정상영업","","","","","0234495722","37604.54","135724","서울특별시 강남구 압구정동 429번지","서울특별시 강남구 압구정로 165 (압구정동, 현대백화점본점)","135724","(주)현대백화점 본점","2020-04-21 12:46:52","U","2020-04-23 02:40:00.0","백화점","202358.505687227    ","447232.955697694    ","대규모점포"
"3220000","2001322008307500027","19881010","","01","영업/정상","1","정상영업","","","","","02 5522233","46111.46","","서울특별시 강남구 삼성동 159번지 7호","서울특별시 강남구 테헤란로 517 (삼성동, 무역센터현대백화점)","135730","현대백화점 무역센터점","2020-04-20 20:16:04","U","2020-04-22 02:40:00.0","백화점","205210.358779172    ","445154.42225208     ","대규모점포"
"3220000","2001322008307500028","1985-03-18","","01","영업/정상","1","정상영업","","","","","0234494305","15358","","서울특별시 강남구 압구정동 494호","서울특별시 강남구 압구정로 343 (압구정동, 갤러리아백화점)","135-902","갤러리아백화점(서관)","2023-03-28 11:22:24","U","2022-12-02 21:00:00.0","백화점","203470.848439305","447369.579851952",""
"3220000","2001322008307500029","20000616","","01","영업/정상","1","정상영업","","","","","02 5312902","26532","","서울특별시 강남구 대치동 937호","서울특별시 강남구 도곡로 401 (대치동)","135704","롯데백화점(강남점)","2022-05-04 16:04:56","U","2021-12-05 00:07:00.0","백화점","204669.543366778","443873.621189048",""
"3220000","2001322008307500030","19881019","","01","영업/정상","1","정상영업","","","","","025597044","7940","135732","서울특별시 강남구 삼성1동 159번지 8호 그랜드인터콘티넨탈호텔(지하1층)","서울특별시 강남구 테헤란로 521 (삼성동)","135732","파르나스몰(PARNAS MALL)","2022-01-17 18:12:19","U","2022-01-19 02:40:00.0","쇼핑센터","205314.159889285    ","445204.709309676    ","대규모점포"
"3220000","2001322008307500031","20000501","","01","영업/정상","1","정상영업","","","","","02 5597049","5683.94","","서울특별시 강남구 삼성동 159호","서울특별시 강남구 봉은사로 524 (삼성동)","135975","코엑스 호텔아케이드","2022-01-17 18:18:38","U","2022-01-19 02:40:00.0","쇼핑센터","205130.591678902    ","445590.096837802    ","대규모점포"
"3220000","2001322008307500032","20000503","","01","영업/정상","1","정상영업","","","","","0260025309","80038","135731","서울특별시 강남구 삼성동 159번지 1호 외","서울특별시 강남구 영동대로 513 (삼성동)","135731","코엑스 몰","2021-04-12 10:30:04","U","2021-04-14 02:40:00.0","복합쇼핑몰","205340.631121567    ","445354.571117445    ","대규모점포"
"3220000","2001322008307500033","19911230","","03","폐업","3","폐업처리","20100210","","","","02 5602637","0","","서울특별시 강남구 역삼동 701호","","","서울상록회관","2010-02-10 17:46:05","I","2018-08-31 23:59:59.0","대형마트","203746.537598441    ","444628.07813453     ",""
"3220000","2001322008307500034","19990714","","02","휴업","2","휴업처리","","","","","02 5696396","5174","","서울특별시 강남구 역삼동 755호 한솔필리아지층  ","","","(주)신세계마트 이마트 역삼점","2007-07-14 10:53:01","I","2018-08-31 23:59:59.0","대형마트","204213.643236507    ","444113.028210915    ",""
"3220000","2003322008307500001","20030128","","01","영업/정상","1","정상영업","","","","","0234165828","1255","135510","서울특별시 강남구 압구정1동 456번지","서울특별시 압구정로 201 (구현대아파트)","135788","금강상가","2017-05-18 15:57:02","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","202485.226490575    ","447521.520319158    ","대규모점포"
"3220000","2003322008307500002","20030418","","02","휴업","2","휴업처리","","","","","02 5492233","21237.74","","서울특별시 강남구 압구정동 456호   ","","","(주)현대백화점 동호스토아","2007-07-14 10:53:01","I","2018-08-31 23:59:59.0","백화점","202485.226490575    ","447521.520319158    ",""
"3220000","2003322008307500004","20030128","","02","휴업","2","휴업처리","","","","","02 5560604","","","서울특별시 강남구 대치동 623,624호   ","","","남서울종합상가","2013-12-30 13:55:03","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","","",""
"3220000","2005000000000000006","19880513","","01","영업/정상","1","정상영업","","","","","025560604","3014.31","135280","서울특별시 강남구 대치동 623번지","서울특별시 강남구 남부순환로 2921 (대치동)","135838","남서울종합시장","2021-08-27 09:39:20","U","2021-08-29 02:40:00.0","그 밖의 대규모점포","205209.747122636    ","443490.817333221    ","대규모점포"
"3220000","2006322012707500001","20061024","","01","영업/정상","1","정상영업","","","","","02-6908-1051","5174","135080","서울특별시 강남구 역삼동 755번지","서울특별시 강남구 역삼로 310 (역삼동)","135926","(주)이마트 역삼점","2014-04-10 17:58:06","I","2018-08-31 23:59:59.0","대형마트","204213.643236507    ","444113.028210915    ","대규모점포"
"3220000","2008322012707500001","20061018","","03","폐업","3","폐업처리","20190831","","","","02-6908-1051","0","135080","서울특별시 강남구 역삼동 755번지","서울특별시 강남구 역삼로 310 (역삼동)","135926","(주)신세계마트 이마트 역삼점","2019-08-31 10:56:55","U","2019-09-03 02:40:00.0","대형마트","204213.643236507    ","444113.028210915    ","대규모점포"
"3220000","2009322012707500001","20090930","","01","영업/정상","1","정상영업","","","","","02)545-1579","3273.17","135820","서울특별시 강남구 논현2동 108번지","서울특별시 강남구 학동로43길 38 (논현동)","135820","논현웰스톤상가","2013-12-27 13:45:22","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","203292.307005445    ","446247.511537864    ","대규모점포"
"3220000","2009322024907500001","20091109","","01","영업/정상","1","정상영업","","","","","3463-8545","223","","서울특별시 강남구 도곡동 518-8 유진빌딩","서울특별시 강남구 논현로28길 9, 유진빌딩 (도곡동)","06301","홈플러스익스프레스 도곡2점","2021-06-18 10:06:47","U","2021-06-20 02:40:00.0","구분없음","203764.786572817    ","442286.229201457    ","준대규모점포"
"3220000","2010322016207500001","20050829","","01","영업/정상","1","정상영업","","","","","578-0362","12645.92","135856","서울특별시 강남구 도곡2동 467번지 7호 아카데미스위트 에이동B101,B102,B201","서울특별시 강남구 남부순환로 2804 (도곡동, 아카데미스위트)","135856","아카데미프라자","2013-12-27 13:43:01","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","204538.144891563    ","442942.853505354    ","대규모점포"
"3220000","2010322016207500002","20101230","","01","영업/정상","1","정상영업","","","","","3453-6499","0","135509","서울특별시 강남구 삼성2동 121번지 38호","서울특별시 강남구 삼성로103길 12 (삼성동)","135509","삼성동 신도브래뉴 주상복합 상가","2013-12-30 10:34:39","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","204652.111034177    ","445353.174360925    ","대규모점포"
"3220000","2011322016207500001","20110412","","03","폐업","3","폐업처리","20190831","","","","02)727-1381","3200.38","135948","서울특별시 강남구 청담동 4번지 1호 외 9필지","서울특별시 강남구 도산대로 442 (청담동)","135948","SSG Food Market 백화점","2019-08-31 10:57:33","U","2019-09-03 02:40:00.0","백화점","203789.588128352    ","446796.128299612    ","대규모점포"
"3220000","2011322016207500002","20110412","","01","영업/정상","1","정상영업","","","","","000269471234","3386.04","135948","서울특별시 강남구 청담동 4번지 1호 외 9필지","서울특별시 강남구 도산대로 442 (청담동)","135948","SSG Food Market 백화점","2020-05-18 18:45:40","U","2020-05-20 02:40:00.0","백화점","203789.588128352    ","446796.128299612    ","대규모점포"
"3220000","2011322016207500003","20110623","","01","영업/정상","1","정상영업","","","","","549-5948","0","135011","서울특별시 강남구 논현1동 140번지 외 44필지","서울특별시 강남구 강남대로124길 22, 3층 301호 (논현동)","135825","영동전통시장","2019-08-31 10:59:45","U","2019-09-03 02:40:00.0","그 밖의 대규모점포","202023.395227792    ","445302.915908145    ","대규모점포"
"3220000","2012322016207500001","20120726","","01","영업/정상","1","정상영업","","","","","0234458545","170.28","135897","서울특별시 강남구 신사동 660번지 18호","서울특별시 강남구 압구정로46길 5-2 (신사동)","135897","홈플러스 익스프레스 압구정점","2021-06-17 17:38:23","U","2021-06-19 02:40:00.0","구분없음","203191.25706078     ","447312.903662969    ","준대규모점포"
"3220000","2012322016207500002","20120405","","03","폐업","3","폐업처리","20170313","","","","0221387230","992.68","","","서울특별시 강남구 학동로43길 38, 지하2층 (논현동, 논현웰스톤)","06059","(주)지에스리테일 논현점","2017-03-13 09:16:41","I","2018-08-31 23:59:59.0","구분없음","203292.307005445    ","446247.511537864    ","준대규모점포"
"3220000","2012322016207500003","20120518","","01","영업/정상","1","정상영업","","","","","025184089","272.02","","","서울특별시 강남구 압구정로18길 25 (신사동, 한국산업양행빌딩)","06031","(주)지에스리테일 신사점","2016-02-23 10:35:37","I","2018-08-31 23:59:59.0","구분없음","202167.012989943    ","446808.075588622    ","준대규모점포"
"3220000","2013322016207500001","20130215","","01","영업/정상","1","정상영업","","","","","545-9612","3718.56","","","서울특별시 강남구 학동로4길 15 (논현동)","135822","동화상가(주)","2013-02-15 11:06:24","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","202010.0103397      ","445368.131754546    ","대규모점포"
"3220000","2013322016207500002","20130604","","01","영업/정상","1","정상영업","","","","","025168546","231","","","서울특별시 강남구 학동로 176 (논현동)","135823","홈플러스익스프레스 학동역점","2021-06-17 17:40:04","U","2021-06-19 02:40:00.0","구분없음","202599.512133865    ","445700.273918744    ","준대규모점포"
"3220000","2013322016207500003","20131204","","03","폐업","3","폐업처리","20220819","","","","02-567-3424","3041.01","135930","서울특별시 강남구 역삼1동 796번지 29호","서울특별시 강남구 논현로63길 16 (역삼동)","135930","역삼서해더블루","2022-08-19 11:11:37","U","2021-12-07 22:01:00.0","그 밖의 대규모점포","203389.562748068","443422.779316247",""
"3220000","2014322016207500001","20140325","","01","영업/정상","1","정상영업","","","","20140326","02-3446-5999","3246.51","","","서울특별시 강남구 도산대로85길 30 (청담동)","135955","신원아침도시마인상가","2014-03-26 13:21:24","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","204391.42543100000  ","447439.75242100000  ","대규모점포"
"3220000","2014322016207500002","20120702","","03","폐업","3","폐업처리","20140615","","","","02-2290-5853","180.8","","","서울특별시 강남구 논현로 468 (역삼동)","135910","롯데쇼핑(주)롯데슈퍼 역삼점","2014-07-02 16:11:01","I","2018-08-31 23:59:59.0","","","","준대규모점포"
"3220000","2014322016207500003","20111124","","01","영업/정상","1","정상영업","","","","","02-3452-5601","177.7","","","서울특별시 강남구 역삼로 230 (역삼동)","135928","롯데슈퍼 역삼2동점","2014-07-04 17:19:57","I","2018-08-31 23:59:59.0","구분없음","203641.076839094    ","443854.896864211    ","준대규모점포"
"3220000","2014322016207500004","20111202","","01","영업/정상","1","정상영업","","","","","02-568-5601","336.2","","","서울특별시 강남구 역삼로8길 15 (역삼동)","135569","롯데슈퍼 역삼1동점","2014-07-04 17:20:17","I","2018-08-31 23:59:59.0","구분없음","202957.286742981    ","443437.682541522    ","준대규모점포"
"3220000","2014322016207500005","20120119","","01","영업/정상","1","정상영업","","","","","02-3466-5601","177.8","","","서울특별시 강남구 언주로122길 25 (논현동, 두산위브아파트)","135832","롯데슈퍼 논현점","2017-04-26 18:33:19","I","2018-08-31 23:59:59.0","구분없음","203322.585990371    ","445590.72903471     ","준대규모점포"
"3220000","2014322016207500006","20120702","","03","폐업","3","폐업처리","20211230","","","","02-3446-5634","120.07","","","서울특별시 강남구 도산대로35길 39 (신사동)","135893","롯데슈퍼 압구정점","2022-01-17 18:06:36","U","2022-01-19 02:40:00.0","구분없음","202612.708410687    ","446806.733541327    ","준대규모점포"
"3220000","2014322016207500007","20120702","","01","영업/정상","1","정상영업","","","","","02-3445-5601","730.7","","","서울특별시 강남구 선릉로 660 (삼성동)","135864","밀구루 삼성점","2020-10-28 10:44:13","U","2020-10-30 02:40:00.0","구분없음","203675.905036013    ","445926.119732235    ","준대규모점포"
"3220000","2014322016207500008","2012-07-02","","01","영업/정상","1","정상영업","","","","","02-3446-5602","294.9","","","서울특별시 강남구 봉은사로103길 5 (삼성동)","135-873","롯데슈퍼 코엑스점","2023-05-09 15:26:03","U","2022-12-04 22:06:00.0","구분없음","205359.898726792","445864.805913342",""
"3220000","2014322016207500009","20120702","","01","영업/정상","1","정상영업","","","","","02-547-5601","503.8","","","서울특별시 강남구 언주로 123 (도곡동, 개포한신아파트)","135855","롯데슈퍼 도곡점","2014-07-04 17:19:23","I","2018-08-31 23:59:59.0","구분없음","204254.782968629    ","442744.847670936    ","준대규모점포"
"3220000","2014322016207500010","20140916","","01","영업/정상","1","정상영업","","","","","02-2006-2156","510.88","135011","서울특별시 강남구 논현동 140번지","서울특별시 강남구 강남대로128길 128-20, 1층 101,104,106호 (논현동, 영동프라자)","135011","(주)지에스리테일 GS슈퍼 강남 논현점","2016-02-23 09:53:20","I","2018-08-31 23:59:59.0","구분없음","202023.395227792    ","445302.915908145    ","준대규모점포"
"3220000","2014322016207500011","20141125","","01","영업/정상","1","정상영업","","","","","02-551-0705","13667","","","서울특별시 강남구 테헤란로87길 22-0 (삼성동)","135728","도심공항몰(CALT MALL)","2019-04-11 14:04:06","U","2019-04-13 02:40:00.0","쇼핑센터","205170.959716696    ","445264.936337181    ","대규모점포"
"3220000","2015322016207500001","20151211","","01","영업/정상","1","정상영업","","","","","02)3446-7133","5155.7","","","서울특별시 강남구 강남대로 432 (역삼동, 점프밀라노)","06129","점프밀라노","2022-02-15 15:34:37","U","2022-02-17 02:40:00.0","그 밖의 대규모점포","202296.99602809     ","444335.013666084    ","대규모점포"
"3220000","2016322016207500001","20161229","","01","영업/정상","1","정상영업","","","","","023809461","358.71","","","서울특별시 강남구 삼성로 633, 1층 (삼성동, 삼광빌딩)","06091","노브랜드 삼성점","2017-06-01 09:33:03","I","2018-08-31 23:59:59.0","구분없음","204447.069004407    ","446008.542809355    ","준대규모점포"
"3220000","2018322016207500001","20180803","","01","영업/정상","1","정상영업","","","","","02-380-9461","677.2","135825","서울특별시 강남구 논현동 164번지 5호 외 3필지","","","삐에로쇼핑 강남논현점","2018-12-27 10:53:42","U","2018-12-29 02:40:00.0","구분없음","201994.292033914    ","445091.876704064    ","준대규모점포"
"3220000","2021322024907500001","20210319","","01","영업/정상","5","영업개시전","","","","","-","7511.51","","서울특별시 강남구 역삼동 676 센터필드","서울특별시 강남구 테헤란로 231, 센터필드 (역삼동)","06142","더 샵스 앳 센터필드 (THE SHOPS AT CENTERFIELD)","2021-03-22 19:43:27","U","2021-03-24 02:40:00.0","그 밖의 대규모점포","203599.062771687    ","444556.062267296    ","대규모점포"
"3220000","2022322024907500001","20220412","","01","영업/정상","1","정상영업","","","","","023805042","794.7","","서울특별시 강남구 신사동 510-11 강남상가아파트","서울특별시 강남구 압구정로2길 46, 1층 (신사동, ---------)","06034","이마트에브리데이 강남시장점","2022-04-26 10:07:26","U","2021-12-03 22:08:00.0","구분없음","201757.494098748","446282.45446652",""
"3220000","2022322024907500002","20220915","","01","영업/정상","1","정상영업","","","","","02 2006-2678","198","","서울특별시 강남구 신사동 638-6","서울특별시 강남구 압구정로 312, 신사동동 1층 (신사동)","06017","GS THE FRESH 압구정점","2022-09-15 18:50:39","I","2021-12-08 23:07:00.0","구분없음","203069.441212025","447391.130408384",""